epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1711.51,3.49806,5.51631,4.14128,0.36245,0.0664,0.06793,0.02625,2.49103,3.08327,2.4515,0.00333013,0.00333013,0.00333013
2,3560.98,1.59765,1.56922,1.60738,0.61147,0.42835,0.47988,0.29102,1.24251,1.02658,1.29897,0.00653153,0.00653153,0.00653153
3,6514.76,1.17183,0.93327,1.24353,0.66874,0.51042,0.57072,0.36578,1.09182,0.88318,1.18695,0.00960093,0.00960093,0.00960093
4,7947.19,1.04089,0.76921,1.1475,0.72794,0.62177,0.69193,0.47033,0.95555,0.67973,1.08821,0.009406,0.009406,0.009406
