epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3942.97,1.05515,0.86788,1.02853,0.80167,0.66059,0.75543,0.54024,0.83681,0.56081,0.93461,0.00333173,0.00333173,0.00333173
2,6560.54,1.03484,0.71997,1.01101,0.77568,0.64597,0.73273,0.51532,0.86593,0.59133,0.95249,0.00665407,0.00665407,0.00665407
3,8982.25,1.08368,0.77471,1.03835,0.77686,0.64677,0.73242,0.51312,0.86912,0.58541,0.96226,0.00996541,0.00996541,0.00996541
4,11390.4,1.05181,0.73506,1.02465,0.79076,0.66101,0.75,0.53133,0.84536,0.55507,0.94955,0.0099505,0.0099505,0.0099505
